Label,sw,filesin,prodin,siteparamin,soilsin,weathersetupin,cloudin,YearStart,YearEnd,LookupWeatherFolder,LookupClimateTempScenarios,LookupClimatePPTScenarios,LookupShiftedPPTScenarios,LookupShiftedPPTCategory,LookupSnowDensityFromTable,LookupTranspRegionsFromTable,LookupEvapCoeffFromTable,LookupTranspCoeffFromTable_Grass,LookupTranspCoeffFromTable_Shrub,LookupTranspCoeffFromTable_Tree,PotentialNaturalVegetation_CompositionShrubsC3C4_Paruelo1996,PotentialNaturalVegetation_CompositionShrubs_Fraction,PotentialNaturalVegetation_CompositionC3_Fraction,PotentialNaturalVegetation_CompositionC4_Fraction,PotentialNaturalVegetation_CompositionAnnuals_Fraction,AdjMonthlyBioMass_Precipitation,AdjMonthlyBioMass_Temperature,AdjRootProfile,RootProfile_C3,RootProfile_C4,RootProfile_Annuals,RootProfile_Shrubs,Shrub_TotalBiomass_ScalingFactor,Shrub_LiveBiomass_ScalingFactor,Shrub_Litter_ScalingFactor,Grass_TotalBiomass_ScalingFactor,Grass_LiveBiomass_ScalingFactor,Grass_Litter_ScalingFactor,Tree_TotalBiomass_ScalingFactor,Tree_LiveBiomass_ScalingFactor,Tree_Litter_ScalingFactor,Vegetation_Biomass_ScalingSeason_AllGrowingORNongrowing,Vegetation_Height_ScalingFactor,PotentialNaturalVegetation_Composition_basedOnReferenceOrScenarioClimate,ClimateScenario_Temp_PerturbationInMeanSeasonalityBothOrNone,ClimateScenario_PPT_PerturbationInMeanSeasonalityBothOrNone,Exclude_ClimateAmbient
UseInformationToCreateSoilWatRuns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
MS1_sbs_0001_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0002_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0003_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0004_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0005_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0006_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0007_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0008_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0009_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0010_5455,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0011_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0012_5455,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0013_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0014_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
