Label,SWC_min,SWC_init,SWC_wet,SWC_YearlyReset,SWC_Deepdrain,PET_multiplier,SoilTemp_Flag,SoilTempC_atUpperBoundary,SoilTempC_atLowerBoundary,Slope,Aspect,RunoffPercent_fromPondedWater,Param_UnsaturatedPercolation
UseInformationToCreateSoilWatRuns,0,0,0,1,0,1,0,0,0,0,0,0,1
01_GP_SGSLTER_Manual,,,,0,,1,,,,,,,0.02
02_GP_USC00247265,,,,0,,1,,,,,,,0.02
03_IM_USC00107648_Reynolds_Manual,,,,0,,1,,,,,,,0.02
04_IM_USC00425402_Manti_Manual,,,,0,,1,,,,,,,0.02
05_GP_SGSLTER_Manual,,,,1,,1,,,,,,,0.02
06_GP_USC00247265,,,,1,,1,,,,,,,0.02
07_IM_USC00107648_Reynolds_Manual,,,,1,,1,,,,,,,0.02
08_IM_USC00425402_Manti_Manual,,,,1,,1,,,,,,,0.02
09_GP_SGSLTER_Manual,,,,0,,1,,,,,,,0.02
10_GP_USC00247265,,,,0,,1,,,,,,,0.02
11_IM_USC00107648_Reynolds_Manual,,,,0,,1,,,,,,,0.02
12_IM_USC00425402_Manti_Manual,,,,0,,1,,,,,,,0.02
13_GP_SGSLTER_Manual,,,,0,,1,,,,,,,0.02
14_GP_USC00247265,,,,0,,1,,,,,,,0.02
15_IM_USC00107648_Reynolds_Manual,,,,0,,1,,,,,,,0.02
16_IM_USC00425402_Manti_Manual,,,,0,,1,,,,,,,0.02
17_GP_SGSLTER_Manual,,,,0,,1,,,,,,,0.02
18_GP_USC00247265,,,,0,,1,,,,,,,0.02
19_IM_USC00107648_Reynolds_Manual,,,,0,,1,,,,,,,0.02
20_IM_USC00425402_Manti_Manual,,,,0,,1,,,,,,,0.02
21_GP_SGSLTER_Manual,,,,0,,1,,,,,,,0.001
22_GP_USC00247265,,,,0,,1,,,,,,,0.001
23_IM_USC00107648_Reynolds_Manual,,,,0,,1,,,,,,,0.001
24_IM_USC00425402_Manti_Manual,,,,0,,1,,,,,,,0.001
25_GP_SGSLTER_Manual,,,,0,,1.5,,,,,,,0.02
26_GP_USC00247265,,,,0,,1.5,,,,,,,0.02
27_IM_USC00107648_Reynolds_Manual,,,,0,,1.5,,,,,,,0.02
28_IM_USC00425402_Manti_Manual,,,,0,,1.5,,,,,,,0.02
