"X","default","X.Artemisia.tridentata.regeneration.according.to.model..2012.02.15..drs...Parameters"
"Doy_SeedDispersalStart0",289," #defines start of 'Regeneration Year' RY  doy=289 <-> 15-Oct <-> RYdoy=1 (in a non-leap year) for a site with meanTJan=0"
"SeedDispersalStart_DependencyOnMeanTempJanuary",0," # [doy/Kelvin]; defines start of regeneration year = Doy_SeedDispersalStart0 + SeedDispersalStart_DependencyOnMeanTempJanuary * meanTJan [Sept to end of Nov for meanTJan=±15C; warmer sites - later seeds]"
"GerminationPeriods_0ResetOr1Resume",0," #0=reset, if after start of favorable conditions for germination conditions became unfavorable, then kills all germinating seedlings and restarts with new seeds; 1=resume, germinating seedlings wait through unfavorable conditions to resume at rebegin of favorable conditions"
"Temp_ExperiencedUnderneathSnowcover",1," #C"
"Temp_MaximumForGermination",38," #C"
"Temp_MinimumForGermination",1," #C"
"SWP_MinimumForGermination",-1.5," #MPa"
"SeedlingGrowth_0StopOr1Resume",1," #0=stop, if conditions turn unfavorable, then growth for entire season is stopped; 1=resume, if unfavorable conditions turn favorable, then resume growth"
"SWE_MaximumForSeedlingGrowth",0," #mm"
"Days_SnowCover_MaximumForSeedlingSurvival",0," #days"
"Temp_MinimumForSeedlingGrowth",-5," #C"
"Temp_MaximumForSeedlingGrowth",40," #C"
"Temp_MinimumForSeedlingSurvival",-15.2," #C"
"Temp_MaximumForSeedlingSurvival",40," #C"
"SWP_ChronicMaximumForSeedlingSurvival",-0.03333," #MPa, here saturation defined as just a little less than field capacity"
"Days_ChronicMaximumForSeedlingSurvival",21,""
"SWP_ChronicMinimumForSeedlingSurvival",-1.5," #MPa"
"Days_ChronicMinimumForSeedlingSurvival",4,""
"SWP_AcuteMinimumForSeedlingSurvival",-3.7," #MPa"
"SoilDepth_RelevantToGermination",3," #cm"
"Seedling_SoilDepth.PO",36," #mm, minimum rooting depth"
"Seedling_SoilDepth.K",830," #mm, maximum rooting depth"
"Seedling_SoilDepth.r",0.0897," #rate of root growth"
"Hardegree_a",0.25," #1/day > 0"
"Hardegree_b",13.3,"#Celcius, optimal temperature"
"Hardegree_c",29,"#1/Kelvin, abs=kurtosis, sign=skewness; if c>0 then c > -(T-b)(d^2-1)/d else if c<0 then c < -(T-b)(d^2-1)/d"
"Hardegree_d",2.3,"#unit-less > 0 & != 1, 'angle of peak'"
"TimeToGerminate_k1_meanJanTemp",-7.5," #[day/C]"
"TimeToGerminate_k2_meanJanTempXIncubationTemp",0.48," #[day/(C*C)]"
"TimeToGerminate_k3_IncubationSWP",-6.5," #[day/MPa]"
