Month,Current,B1monthly.SnowCat1,B1monthly.SnowCat2,B1monthly.SnowCat3,B1monthly.SnowCat4,A2monthly.SnowCat1,A2monthly.SnowCat2,A2monthly.SnowCat3,A2monthly.SnowCat4
1,1,1.08,1.05,1.06,1.04,1.2,1.1,1.14,1.1
2,1,1.08,0.97,1.04,0.99,1.25,1.32,1.26,1.26
3,1,1.07,1.01,1.01,0.99,1.19,1.13,1.13,1.1
4,1,1.18,1.14,1.17,1.13,1.1,1.04,1.05,1.01
5,1,0.97,0.88,0.94,0.9,0.84,0.71,0.74,0.7
6,1,0.88,0.84,0.86,0.83,0.82,0.76,0.76,0.76
7,1,0.99,1.08,1.06,1.06,0.99,1.13,1.09,1.1
8,1,0.95,0.96,1,0.99,1.06,1.48,1.31,1.4
9,1,1.04,1.1,1.07,1.08,0.94,1.08,1.03,1.03
10,1,1.02,0.99,1,0.99,1.04,1.07,1.04,1.05
11,1,1.07,1.07,1.1,1.06,1.15,1.15,1.16,1.14
12,1,1.14,1.08,1.13,1.08,1.19,1.2,1.18,1.17
