,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,Shrub_MaxRoot010,C3_MaxRoot010,C4_MaxRoot010,Shrub_MaxRoot025,C3_MaxRoot025,C4_MaxRoot025,Shrub_MaxRoot050,C3_MaxRoot050,C4_MaxRoot050,Shrub_MaxRoot100,C3_MaxRoot100,C4_MaxRoot100,Shrub_MaxRoot200,C3_MaxRoot200,C4_MaxRoot200
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,MaxRoot010,,,MaxRoot025,,,MaxRoot050,,,MaxRoot100,,,MaxRoot200,,
,L1,1,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.022605366,0.035518601,0.039,0.243307736,0.257505615,0.39665148,0.110015614,0.119159793,0.173713993,0.061117492,0.06804247,0.082663545,0.035768514,0.041470782,0.033485752,0.022862636,0.041470782,0.033485752
,L2,2,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.022094364,0.03425703,0.037479,0.183415074,0.187658292,0.247505471,0.090989,0.094603939,0.156159307,0.048898121,0.051117323,0.091050448,0.025348979,0.026571688,0.049177793,0.012905877,0.026571688,0.049177793
,L3,3,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.021594912,0.033040269,0.036017319,0.144068415,0.144738273,0.147629208,0.082611858,0.085269844,0.12699975,0.046592812,0.048530105,0.082110668,0.024744224,0.025890516,0.046701172,0.012750999,0.025890516,0.046701172
,L4,4,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.021106752,0.031866724,0.034612644,0.113162499,0.11163465,0.088056167,0.07500598,0.076856698,0.103285145,0.044396187,0.046073834,0.074048639,0.024153897,0.025226807,0.044349276,0.01259798,0.025226807,0.044349276
,L5,5,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.020629626,0.030734863,0.033262751,0.088886597,0.086102278,0.052522726,0.068100358,0.069273634,0.083998756,0.042303123,0.043741883,0.06677818,0.023577654,0.024580111,0.042115822,0.012446796,0.024580111,0.042115822
,L6,6,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.020163286,0.029643204,0.031965503,0.069818423,0.066409509,0.03132815,0.061830519,0.062438753,0.068313707,0.040308736,0.041527961,0.06022157,0.023015158,0.023949994,0.039994846,0.012297428,0.023949994,0.039994846
,L7,7,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019707487,0.028590319,0.030718849,0.0548408,0.051220746,0.018686253,0.05613793,0.056278235,0.055557519,0.038408374,0.039426092,0.054308721,0.022466082,0.023336029,0.037980684,0.012149851,0.023336029,0.037980684
,L8,8,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019261992,0.02757483,0.029520814,0.043076215,0.03950586,0.011145761,0.050969444,0.050725545,0.045183289,0.036597606,0.037430606,0.048976424,0.021930105,0.022737804,0.036067956,0.012004046,0.022737804,0.036067956
