,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,L1,1,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.022605366,0.035518601,0.039,0.022605366
,L2,2,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.022094364,0.03425703,0.037479,0.022094364
,L3,3,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.021594912,0.033040269,0.036017319,0.021594912
,L4,4,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.021106752,0.031866724,0.034612644,0.021106752
,L5,5,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.020629626,0.030734863,0.033262751,0.020629626
,L6,6,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.020163286,0.029643204,0.031965503,0.020163286
,L7,7,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019707487,0.028590319,0.030718849,0.019707487
,L8,8,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019261992,0.02757483,0.029520814,0.019261992
