,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Source
Shortgrass,,,,,,,,,,,,,,,,,,,,,
BigSagebrushSteppe,,,,,,,,,,,,,,,,,,,,,
BigSagebrushShrubland,,,,,,,,,,,,,,,,,,,,,
BigSagebrushMontane,,,,,,,,,,,,,,,,,,,,,
LodgepolePine,,,,,,,,,,,,,,,,,,,,,
YourOwn,,,,,,,,,,,,,,,,,,,,,
CONUSSOIL_BSE,1,1,1,2,2,2,3,3,,,,,,,,,,,,,
CONUSSOIL_Grassland,1,1,1,2,2,3,3,,,,,,,,,,,,,,
CONUSSOIL_with50and90cm_BSE,1,1,1,2,2,2,2,3,3,3,,,,,,,,,,,
CONUSSOIL_with50and90cm_Grassland,1,1,1,2,2,3,3,3,,,,,,,,,,,,,
