"X","default","X.Artemisia.tridentata.regeneration.according.to.model..2012.02.15..drs...Parameters"
"Doy_SeedDispersalStart0",324.5569743," #defines start of 'Regeneration Year' RY  doy=289 <-> 15-Oct <-> RYdoy=1 (in a non-leap year) for a site with meanTJan=0"
"SeedDispersalStart_DependencyOnMeanTempJanuary",2.039915438," # [doy/Kelvin]; defines start of regeneration year = Doy_SeedDispersalStart0 + SeedDispersalStart_DependencyOnMeanTempJanuary * meanTJan [Sept to end of Nov for meanTJan=±15C; warmer sites - later seeds]"
"GerminationPeriods_0ResetOr1Resume",1," #0=reset, if after start of favorable conditions for germination conditions became unfavorable, then kills all germinating seedlings and restarts with new seeds; 1=resume, germinating seedlings wait through unfavorable conditions to resume at rebegin of favorable conditions"
"Temp_ExperiencedUnderneathSnowcover",3.406591694," #C"
"Temp_MaximumForGermination",43.84200172," #C"
"Temp_MinimumForGermination",3.620305876," #C"
"SWP_MinimumForGermination",-0.447054684," #MPa"
"SeedlingGrowth_0StopOr1Resume",1," #0=stop, if conditions turn unfavorable, then growth for entire season is stopped; 1=resume, if unfavorable conditions turn favorable, then resume growth"
"SWE_MaximumForSeedlingGrowth",0," #mm"
"Days_SnowCover_MaximumForSeedlingSurvival",31," #days"
"Temp_MinimumForSeedlingGrowth",-2.616505128," #C"
"Temp_MaximumForSeedlingGrowth",34.46478864," #C"
"Temp_MinimumForSeedlingSurvival",-9.25483659," #C"
"Temp_MaximumForSeedlingSurvival",34.46478864," #C"
"SWP_ChronicMaximumForSeedlingSurvival",-0.03333," #MPa, here saturation defined as just a little less than field capacity"
"Days_ChronicMaximumForSeedlingSurvival",56,""
"SWP_ChronicMinimumForSeedlingSurvival",-2.259034726," #MPa"
"Days_ChronicMinimumForSeedlingSurvival",49,""
"SWP_AcuteMinimumForSeedlingSurvival",-3.278547773," #MPa"
"SoilDepth_RelevantToGermination",3," #cm"
"Seedling_SoilDepth.PO",74," #mm, minimum rooting depth"
"Seedling_SoilDepth.K",1765," #mm, maximum rooting depth"
"Seedling_SoilDepth.r",0.189413231," #rate of root growth"
"Hardegree_a",0.649614337," #1/day > 0"
"Hardegree_b",13.7107755,"#Celsius, optimal temperature"
"Hardegree_c",-116.2694843,"#1/Kelvin, abs=kurtosis, sign=skewness; if c>0 then c > -(T-b)(d^2-1)/d else if c<0 then c < -(T-b)(d^2-1)/d"
"Hardegree_d",0.365901519,"#unit-less > 0 & != 1, 'angle of peak'"
"TimeToGerminate_k1_meanJanTemp",-0.395946153," #[day/C]"
"TimeToGerminate_k2_meanJanTempXIncubationTemp",0.267351215," #[day/(C*C)]"
"TimeToGerminate_k3_IncubationSWP",-3.538845403," #[day/MPa]"
