Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_028_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.809,1.809,1.809,0.7,0.7,0.7,0.7,0.7,0.7,1.809,1.809,1.809,0.191,0.191,0.191,1.3,1.3,1.3,1.3,1.3,1.3,0.191,0.191,0.191
MS1_bs_045_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.977,1.977,1.977,0.7,0.7,0.7,0.7,0.7,0.7,1.977,1.977,1.977,0.023,0.023,0.023,1.3,1.3,1.3,1.3,1.3,1.3,0.023,0.023,0.023
MS1_bs_066_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.146,1.146,1.146,0.7,0.7,0.7,0.7,0.7,0.7,1.146,1.146,1.146,0.854,0.854,0.854,1.3,1.3,1.3,1.3,1.3,1.3,0.854,0.854,0.854
MS1_bs_075_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.143,1.143,1.143,0.7,0.7,0.7,0.7,0.7,0.7,1.143,1.143,1.143,0.857,0.857,0.857,1.3,1.3,1.3,1.3,1.3,1.3,0.857,0.857,0.857
MS1_bs_087_05454,1,1,1,1,1,1,1,1,1,1,1,1,2.178,2.178,2.178,0.7,0.7,0.7,0.7,0.7,0.7,2.178,2.178,2.178,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,0,0,0
MS1_bs_090_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.988,1.988,1.988,0.7,0.7,0.7,0.7,0.7,0.7,1.988,1.988,1.988,0.012,0.012,0.012,1.3,1.3,1.3,1.3,1.3,1.3,0.012,0.012,0.012
MS1_bs_094_05454,1,1,1,1,1,1,1,1,1,1,1,1,2.15,2.15,2.15,0.7,0.7,0.7,0.7,0.7,0.7,2.15,2.15,2.15,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,0,0,0
MS1_bs_118_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.134,1.134,1.134,0.7,0.7,0.7,0.7,0.7,0.7,1.134,1.134,1.134,0.866,0.866,0.866,1.3,1.3,1.3,1.3,1.3,1.3,0.866,0.866,0.866
MS1_bs_122_05454,1,1,1,1,1,1,1,1,1,1,1,1,2.09,2.09,2.09,0.7,0.7,0.7,0.7,0.7,0.7,2.09,2.09,2.09,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,0,0,0
MS1_bs_133_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.148,1.148,1.148,0.7,0.7,0.7,0.7,0.7,0.7,1.148,1.148,1.148,0.852,0.852,0.852,1.3,1.3,1.3,1.3,1.3,1.3,0.852,0.852,0.852
MS1_bs_136_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.382,1.382,1.382,0.7,0.7,0.7,0.7,0.7,0.7,1.382,1.382,1.382,0.618,0.618,0.618,1.3,1.3,1.3,1.3,1.3,1.3,0.618,0.618,0.618
MS1_bs_157_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.16,1.16,1.16,0.7,0.7,0.7,0.7,0.7,0.7,1.16,1.16,1.16,0.84,0.84,0.84,1.3,1.3,1.3,1.3,1.3,1.3,0.84,0.84,0.84
MS1_bs_228_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.567,1.567,1.567,0.7,0.7,0.7,0.7,0.7,0.7,1.567,1.567,1.567,0.433,0.433,0.433,1.3,1.3,1.3,1.3,1.3,1.3,0.433,0.433,0.433
MS1_bs_246_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.531,1.531,1.531,0.7,0.7,0.7,0.7,0.7,0.7,1.531,1.531,1.531,0.469,0.469,0.469,1.3,1.3,1.3,1.3,1.3,1.3,0.469,0.469,0.469
MS1_bs_249_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.394,1.394,1.394,0.7,0.7,0.7,0.7,0.7,0.7,1.394,1.394,1.394,0.606,0.606,0.606,1.3,1.3,1.3,1.3,1.3,1.3,0.606,0.606,0.606
MS1_bs_259_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.747,1.747,1.747,0.7,0.7,0.7,0.7,0.7,0.7,1.747,1.747,1.747,0.253,0.253,0.253,1.3,1.3,1.3,1.3,1.3,1.3,0.253,0.253,0.253
MS1_bs_295_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.168,1.168,1.168,0.7,0.7,0.7,0.7,0.7,0.7,1.168,1.168,1.168,0.832,0.832,0.832,1.3,1.3,1.3,1.3,1.3,1.3,0.832,0.832,0.832
MS1_bs_298_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.564,1.564,1.564,0.7,0.7,0.7,0.7,0.7,0.7,1.564,1.564,1.564,0.436,0.436,0.436,1.3,1.3,1.3,1.3,1.3,1.3,0.436,0.436,0.436
MS1_bs_300_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.427,1.427,1.427,0.7,0.7,0.7,0.7,0.7,0.7,1.427,1.427,1.427,0.573,0.573,0.573,1.3,1.3,1.3,1.3,1.3,1.3,0.573,0.573,0.573
