Label,Composition_GrassFraction,Composition_ShrubFraction,Composition_TreeFraction,Composition_ForbFraction,Composition_BareGround,BareGround_Albedo,Grass_Albedo,Grass_CanopyHeight_Constant_cm,Grass_HydRed_OnOff,Grass_SWPcrit_MPa,Grass_Litter_m1,Grass_Litter_m2,Grass_Litter_m3,Grass_Litter_m4,Grass_Litter_m5,Grass_Litter_m6,Grass_Litter_m7,Grass_Litter_m8,Grass_Litter_m9,Grass_Litter_m10,Grass_Litter_m11,Grass_Litter_m12,Grass_Biomass_m1,Grass_Biomass_m2,Grass_Biomass_m3,Grass_Biomass_m4,Grass_Biomass_m5,Grass_Biomass_m6,Grass_Biomass_m7,Grass_Biomass_m8,Grass_Biomass_m9,Grass_Biomass_m10,Grass_Biomass_m11,Grass_Biomass_m12,Grass_FractionLive_m1,Grass_FractionLive_m2,Grass_FractionLive_m3,Grass_FractionLive_m4,Grass_FractionLive_m5,Grass_FractionLive_m6,Grass_FractionLive_m7,Grass_FractionLive_m8,Grass_FractionLive_m9,Grass_FractionLive_m10,Grass_FractionLive_m11,Grass_FractionLive_m12,Grass_LAIconv_m1,Grass_LAIconv_m2,Grass_LAIconv_m3,Grass_LAIconv_m4,Grass_LAIconv_m5,Grass_LAIconv_m6,Grass_LAIconv_m7,Grass_LAIconv_m8,Grass_LAIconv_m9,Grass_LAIconv_m10,Grass_LAIconv_m11,Grass_LAIconv_m12,Shrub_Albedo,Shrub_CanopyHeight_Constant_cm,Shrub_HydRed_OnOff,Shrub_SWPcrit_MPa,Shrub_Litter_m1,Shrub_Litter_m2,Shrub_Litter_m3,Shrub_Litter_m4,Shrub_Litter_m5,Shrub_Litter_m6,Shrub_Litter_m7,Shrub_Litter_m8,Shrub_Litter_m9,Shrub_Litter_m10,Shrub_Litter_m11,Shrub_Litter_m12,Shrub_Biomass_m1,Shrub_Biomass_m2,Shrub_Biomass_m3,Shrub_Biomass_m4,Shrub_Biomass_m5,Shrub_Biomass_m6,Shrub_Biomass_m7,Shrub_Biomass_m8,Shrub_Biomass_m9,Shrub_Biomass_m10,Shrub_Biomass_m11,Shrub_Biomass_m12,Shrub_FractionLive_m1,Shrub_FractionLive_m2,Shrub_FractionLive_m3,Shrub_FractionLive_m4,Shrub_FractionLive_m5,Shrub_FractionLive_m6,Shrub_FractionLive_m7,Shrub_FractionLive_m8,Shrub_FractionLive_m9,Shrub_FractionLive_m10,Shrub_FractionLive_m11,Shrub_FractionLive_m12,Shrub_LAIconv_m1,Shrub_LAIconv_m2,Shrub_LAIconv_m3,Shrub_LAIconv_m4,Shrub_LAIconv_m5,Shrub_LAIconv_m6,Shrub_LAIconv_m7,Shrub_LAIconv_m8,Shrub_LAIconv_m9,Shrub_LAIconv_m10,Shrub_LAIconv_m11,Shrub_LAIconv_m12,Tree_Albedo,Tree_CanopyHeight_Constant_cm,Tree_HydRed_OnOff,Tree_SWPcrit_MPa,Tree_Litter_m1,Tree_Litter_m2,Tree_Litter_m3,Tree_Litter_m4,Tree_Litter_m5,Tree_Litter_m6,Tree_Litter_m7,Tree_Litter_m8,Tree_Litter_m9,Tree_Litter_m10,Tree_Litter_m11,Tree_Litter_m12,Tree_Biomass_m1,Tree_Biomass_m2,Tree_Biomass_m3,Tree_Biomass_m4,Tree_Biomass_m5,Tree_Biomass_m6,Tree_Biomass_m7,Tree_Biomass_m8,Tree_Biomass_m9,Tree_Biomass_m10,Tree_Biomass_m11,Tree_Biomass_m12,Tree_FractionLive_m1,Tree_FractionLive_m2,Tree_FractionLive_m3,Tree_FractionLive_m4,Tree_FractionLive_m5,Tree_FractionLive_m6,Tree_FractionLive_m7,Tree_FractionLive_m8,Tree_FractionLive_m9,Tree_FractionLive_m10,Tree_FractionLive_m11,Tree_FractionLive_m12,Tree_LAIconv_m1,Tree_LAIconv_m2,Tree_LAIconv_m3,Tree_LAIconv_m4,Tree_LAIconv_m5,Tree_LAIconv_m6,Tree_LAIconv_m7,Tree_LAIconv_m8,Tree_LAIconv_m9,Tree_LAIconv_m10,Tree_LAIconv_m11,Tree_LAIconv_m12,Forb_Albedo,Forb_CanopyHeight_Constant_cm,Forb_HydRed_OnOff,Forb_SWPcrit_MPa,Forb_Litter_m1,Forb_Litter_m2,Forb_Litter_m3,Forb_Litter_m4,Forb_Litter_m5,Forb_Litter_m6,Forb_Litter_m7,Forb_Litter_m8,Forb_Litter_m9,Forb_Litter_m10,Forb_Litter_m11,Forb_Litter_m12,Forb_Biomass_m1,Forb_Biomass_m2,Forb_Biomass_m3,Forb_Biomass_m4,Forb_Biomass_m5,Forb_Biomass_m6,Forb_Biomass_m7,Forb_Biomass_m8,Forb_Biomass_m9,Forb_Biomass_m10,Forb_Biomass_m11,Forb_Biomass_m12,Forb_FractionLive_m1,Forb_FractionLive_m2,Forb_FractionLive_m3,Forb_FractionLive_m4,Forb_FractionLive_m5,Forb_FractionLive_m6,Forb_FractionLive_m7,Forb_FractionLive_m8,Forb_FractionLive_m9,Forb_FractionLive_m10,Forb_FractionLive_m11,Forb_FractionLive_m12,Forb_LAIconv_m1,Forb_LAIconv_m2,Forb_LAIconv_m3,Forb_LAIconv_m4,Forb_LAIconv_m5,Forb_LAIconv_m6,Forb_LAIconv_m7,Forb_LAIconv_m8,Forb_LAIconv_m9,Forb_LAIconv_m10,Forb_LAIconv_m11,Forb_LAIconv_m12
UseInformationToCreateSoilWatRuns,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEF_60,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,114.7885182,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,10789.75942,0.00445105,0.00445105,0.00445105,0.012459232,0.020467414,0.020467414,0.020467414,0.020467414,0.016463323,0.012459232,0.00445105,0.00445105,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEF_75,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,136.3512585,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,11910.61996,0.004629753,0.004629753,0.004629753,0.012935744,0.021241735,0.021241735,0.021241735,0.021241735,0.01708874,0.012935744,0.004629753,0.004629753,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEF_90,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,157.9281426,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,14074.12747,0.004845211,0.004845211,0.004845211,0.01319727,0.021549329,0.021549329,0.021549329,0.021549329,0.017373299,0.01319727,0.004845211,0.004845211,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEF_CropTreeRelease,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,145.3324832,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,12514.90914,0.004155418,0.004155418,0.004155418,0.013332605,0.022509793,0.022509793,0.022509793,0.022509793,0.017921199,0.013332605,0.004155418,0.004155418,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,109.3665816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEF_Control,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1775.4264,NA,NA,200,200,200,200,200,200,200,200,200,200,200,200,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,18466.51539,0.00496348,0.00496348,0.00496348,0.012876203,0.020788926,0.020788926,0.020788926,0.020788926,0.016832564,0.012876203,0.00496348,0.00496348,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,110.6532473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEF_Clearcut,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,71.89025665,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,9035.603832,0.000394351,0.000394351,0.000394351,0.000394351,0.015787216,0.031180082,0.031180082,0.031180082,0.023483649,0.008090783,0.000394351,0.000394351,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEF_Control,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,142.7867002,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,25139.9816,0.014524182,0.014524182,0.014524182,0.014524182,0.022077333,0.029630485,0.029630485,0.029630485,0.025853909,0.018300757,0.014524182,0.014524182,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEF_SingleTree,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.2,NA,NA,200,200,200,200,200,200,200,200,200,200,200,200,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,37393.04203,0.002962954,0.002962954,0.002962954,0.002962954,0.012216999,0.021471045,0.021471045,0.021471045,0.016844022,0.007589977,0.002962954,0.002962954,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,289.6871639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLE_120,0.025,NA,0.975,NA,NA,NA,NA,NA,NA,NA,926.5432285,869.6401394,862.1680167,862.1680167,862.1680167,911.7514276,1215.6996,1515.604954,1294.088756,1077.710021,1005.862686,1004.563951,502.931343,502.931343,515.5764739,538.8550103,574.7786779,493.4474948,247.1548315,327.336457,337.9698624,467.0076758,467.0076758,490.2862121,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158.333333,NA,NA,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,121.2069084,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,17010.5467,0.060192807,0.060192807,0.060192807,0.060192807,0.060514421,0.060836036,0.060836036,0.060836036,0.060514421,0.060353614,0.060192807,0.060192807,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,355.6200104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
